symbol,year,sales,net_profit,borrowings,operating_profit,sales_zscore,net_profit_zscore,borrowings_zscore,operating_profit_zscore,zscore_anomaly,isolation_flag,isolation_anomaly,final_anomaly
ADANIPORTS,2016.0,7109,2856,22342.0,4577.0,0.5004246032341726,0.2919767143684871,0.25695385252156017,0.40473104568509405,False,1,False,False
ADANIPORTS,2017.0,8439,3902,22214.0,5418.0,0.4890397564352118,0.188377931156828,0.2575285275051567,0.37125928924934926,False,1,False,False
ADANIPORTS,2018.0,11323,3690,22370.0,7157.0,0.46435261495536007,0.20937500767773787,0.2568281423688984,0.3020471793304906,False,1,False,False
ADANIPORTS,2019.0,10925,4045,27712.0,6596.0,0.4677595089598611,0.17421480878659162,0.23284444110036107,0.3243749502703869,False,1,False,False
ADANIPORTS,2020.0,11873,3785,30242.0,5947.0,0.4596445956024064,0.19996594036883958,0.22148563087771045,0.3502051166518356,False,1,False,False
ADANIPORTS,2021.0,12550,5049,35855.0,8688.0,0.45384945178067976,0.07477582375360332,0.1962852349173398,0.24111345863711925,False,1,False,False
ADANIPORTS,2022.0,17119,4953,47935.0,9528.0,0.41473865101041535,0.0842839338762795,0.14205028334041522,0.20768150214957393,False,1,False,False
ADANIPORTS,2023.0,20852,5391,53434.0,10947.0,0.38278403965664054,0.040903181441569465,0.11736170728731023,0.15120537565454198,False,1,False,False
ADANIPORTS,2024.0,26711,8104,49470.0,15589.0,0.33263079349490293,0.22779997233781027,0.13515867318556596,0.033545983887345414,False,1,False,False
ADANIPORTS,2024.0,26711,8104,50485.0,15589.0,0.33263079349490293,0.22779997233781027,0.13060168015157766,0.033545983887345414,False,1,False,False
ADANIPORTS,2019.0,28443,9743,6695.0,17165.0,0.3178048125506924,0.3901311441197503,0.3272033796179293,0.09627070224969236,False,1,False,False
